DATE,CITY,COUNTRY,TEMP_LO,TEMP_HI,RAIN,DESCRIPTION
2033-08-02,NYC,USA,12.9,18.1,00000.0,Clear
2033-08-03,NYC,USA,11.4,15.2,00000.0,Clear
2033-08-04,NYC,USA,6.2,23.3,00000.0,Sunny
2033-08-05,NYC,USA,9.6,14.4,00000.0,Clear
2033-08-06,NYC,USA,8.9,14.4,00000.0,Clear
2033-08-07,NYC,USA,4.8,21.9,00000.0,Sunny
2033-08-08,NYC,USA,2.2,18.2,00000.0,Clear
2033-08-09,Utrecht,NLD,8.7,10.7,00008.0,Rain
2033-08-09,NYC,USA,3.3,15.5,00000.0,Clear
2033-08-10,Utrecht,NLD,9.7,16.9,00003.0,Rain
2033-08-10,NYC,USA,12.4,15.2,00000.0,Clear
2033-08-11,Utrecht,NLD,8.9,12.0,00000.0,Cloudy
2033-08-11,NYC,USA,3.7,15.7,00000.0,Clear
2033-08-12,Utrecht,NLD,6.6,12.3,00000.0,Clear
2033-08-12,NYC,USA,1.9,22.0,00000.0,Cloudy
2033-08-13,Utrecht,NLD,8.9,16.8,00358.0,Rain
2033-08-13,NYC,USA,13.2,14.1,00000.0,Clear
2033-08-14,Utrecht,NLD,0.6,16.9,00000.0,Clear
2033-08-14,NYC,USA,12.7,27.7,00000.0,Cloudy
2033-08-15,NYC,USA,13.4,21.2,00000.0,Sunny
2033-08-15,Utrecht,NLD,7.9,12.3,00001.0,NA
2033-08-16,NYC,USA,9.8,15.8,00000.0,Clear
2033-08-16,Utrecht,NLD,9.9,10.6,00000.0,Cloudy
2033-08-17,Utrecht,NLD,4.8,16.8,00000.0,Clear
2033-08-17,NYC,USA,5.6,17.2,00000.0,Clear
2033-08-18,Utrecht,NLD,6.7,16.4,00001.0,Clear
2033-08-18,NYC,USA,9.3,17.4,00000.0,Clear
2033-08-19,Utrecht,NLD,7.5,10.9,00001.0,NA
2033-08-19,NYC,USA,10.8,14.2,00000.0,Clear
2033-08-20,Utrecht,NLD,-4.7,13.6,00004.0,Rain
2033-08-20,NYC,USA,8.8,14.7,00000.0,Clear
2033-08-21,NYC,USA,10.1,20.6,00000.0,Cloudy
2033-08-21,Utrecht,NLD,5.8,15.3,00006.0,Rain
2033-08-22,NYC,USA,11.2,18.1,00000.0,Clear
2033-08-22,Utrecht,NLD,3.7,19.9,00001.0,NA
2033-08-23,NYC,USA,13.2,16.9,00000.0,Clear
2033-08-23,Utrecht,NLD,4.1,12.4,00000.0,Clear
2033-08-24,NYC,USA,8.3,14.4,00000.0,Clear
2033-08-24,Utrecht,NLD,6.5,14.3,01200.0,Rain
2033-08-25,NYC,USA,13.2,15.5,00000.0,Clear
2033-08-25,Utrecht,NLD,6.7,17.2,00010.0,Rain
2033-08-26,NYC,USA,10.0,15.8,00000.0,Clear
2033-08-26,Utrecht,NLD,10.8,12.8,00239.0,Rain
2033-08-27,NYC,USA,10.1,22.2,00000.0,Sunny
2033-08-27,Utrecht,NLD,7.9,12.8,00009.0,Rain
2033-08-28,Utrecht,NLD,9.3,14.8,00024.0,Rain
2033-08-28,NYC,USA,6.7,26.0,00000.0,Cloudy
2033-08-29,Utrecht,NLD,1.2,10.1,00000.0,Cloudy
2033-08-29,NYC,USA,12.1,20.0,00000.0,Cloudy
2033-08-30,Utrecht,NLD,5.9,11.7,00027.0,Rain
2033-08-30,NYC,USA,9.8,17.6,00000.0,Clear
2033-08-31,Utrecht,NLD,9.7,9.8,00426.0,Rain
2033-08-31,NYC,USA,8.9,23.3,00000.0,Cloudy
2033-09-01,Utrecht,NLD,9.5,13.6,00001.0,Clear
2033-09-01,NYC,USA,11.0,15.5,00000.0,Clear
2033-09-02,Utrecht,NLD,10.1,10.9,00000.0,Cloudy
2033-09-02,NYC,USA,12.4,19.5,00000.0,Clear
2033-09-03,Utrecht,NLD,4.4,15.5,00001.0,NA
2033-09-03,NYC,USA,10.5,16.9,00000.0,Clear
2033-09-04,NYC,USA,11.6,15.2,00000.0,Clear
2033-09-04,Utrecht,NLD,0.1,14.5,00001.0,NA
2033-09-05,Utrecht,NLD,0.8,18.1,00001.0,Clear
2033-09-05,NYC,USA,7.7,17.6,00000.0,Clear
2033-09-06,Utrecht,NLD,5.9,17.0,00002.0,Rain
2033-09-06,NYC,USA,10.4,14.2,00001.0,Clear
2033-09-07,Utrecht,NLD,7.9,16.4,00002.0,Rain
2033-09-07,NYC,USA,10.1,26.1,00000.0,Sunny
2033-09-08,Utrecht,NLD,5.2,15.6,00001.0,NA
2033-09-08,NYC,USA,12.8,17.1,00000.0,Clear
2033-09-09,NYC,USA,3.7,15.9,00000.0,Clear
2033-09-09,Utrecht,NLD,2.6,12.8,00013.0,Rain
2033-09-10,Utrecht,NLD,6.8,11.3,00000.0,Cloudy
2033-09-10,NYC,USA,12.1,18.0,00000.0,Clear
2033-09-11,Utrecht,NLD,8.4,16.9,00000.0,Clear
2033-09-11,NYC,USA,12.0,19.4,00000.0,Clear
2033-09-12,NYC,USA,12.4,16.3,00000.0,Clear
2033-09-12,Utrecht,NLD,8.1,12.9,00000.0,Clear
2033-09-13,Utrecht,NLD,6.9,13.0,00000.0,Clear
2033-09-13,NYC,USA,11.1,14.7,00000.0,Clear
2033-09-14,NYC,USA,13.6,19.1,00000.0,Clear
2033-09-14,Utrecht,NLD,6.0,17.9,00000.0,Clear
2033-09-15,NYC,USA,11.8,16.6,00000.0,Clear
2033-09-15,Utrecht,NLD,3.8,12.9,00000.0,Clear
2033-09-16,Utrecht,NLD,8.8,24.9,00000.0,Cloudy
2033-09-16,NYC,USA,7.6,14.4,00000.0,Clear
2033-09-17,NYC,USA,13.6,20.5,00000.0,Cloudy
2033-09-17,Utrecht,NLD,5.8,19.1,00000.0,Clear
2033-09-18,NYC,USA,12.3,16.0,00000.0,Clear
2033-09-18,Utrecht,NLD,3.0,12.3,00000.0,Clear
2033-09-19,Utrecht,NLD,9.1,15.0,00007.0,Rain
2033-09-19,NYC,USA,9.0,17.4,00000.0,Clear
2033-09-20,Utrecht,NLD,2.6,13.9,00001.0,Clear
2033-09-20,NYC,USA,13.7,15.1,00000.0,Clear
2033-09-21,Utrecht,NLD,-0.6,10.9,00001.0,Cloudy
2033-09-21,NYC,USA,13.0,15.1,00000.0,Clear
